,Original_MAE,Original_MSE,VAE_MAE,VAE_MSE
ElasticNet,7.964599865624112,118.42329031253198,3.3314919349361953,33.328016813071265
SVR,7.738536885544451,131.15699922670063,2.6294382839501766,31.43439452442732
DecisionTree,7.966413049202571,119.45522696680078,2.989128687300196,31.189530581520813
LightGBM,8.009767139803897,121.17102390370982,3.023969086408932,31.146668375596757
XGBoost,8.202568078994751,129.2345789580255,2.931230630254746,29.087186497688045
